current_name,proposed_name,reason
PP52 6726 Indian River  Dr,PP52 6726 Indian River Dr,whitespace
PP66 7443 Henrietta Drive,PP66 7443 Henrietta Dr,USPS suffix
PP70 7029 Lincoln Oaks Drive,PP70 7029 Lincoln Oaks Dr,USPS suffix
PP72 71 Hermes Circle,PP72 71 Hermes Cir,USPS suffix
PP73 3120 62nd Street,PP73 3120 62nd St,USPS suffix
PP79 10 Paramount Circle,PP79 10 Paramount Cir,USPS suffix
PP81 113 Mossglen Circle,PP81 113 Mossglen Cir,USPS suffix
PP86 807 Stoneridge Circle,PP86 807 Stoneridge Cir,USPS suffix
PP94 4517 V Street,PP94 4517 V St,USPS suffix
PP96 9669 Walnut Avenue,PP96 9669 Walnut Ave,USPS suffix
PP119 9041 Black Opal Circle,PP119 9041 Black Opal Cir,USPS suffix
PP165 2521 43rd Avenue,PP165 2521 43rd Ave,USPS suffix
PP173 13641 Brass Circle,PP173 13641 Brass Cir,USPS suffix
PP198 4502 Lavigne Circle,PP198 4502 Lavigne Cir,USPS suffix
PP268 2496 Winged Foot Road,PP268 2496 Winged Foot Rd,USPS suffix
PP286 760 Regency Circle,PP286 760 Regency Cir,USPS suffix
PP313 9751 Clay Station  Rd,PP313 9751 Clay Station Rd,whitespace
PP315 8113 Canyon Oak Drive,PP315 8113 Canyon Oak Dr,USPS suffix
